"row","col","coeff"
1,3,0.329190317635491
2,5,0.346452346966388
2,56,0.0320404397306255
3,6,0.435460428804339
4,7,0.420117999062688
5,2,0.436294038636293
6,3,0.471860556315532
7,4,0.459975745483988
8,26,0.129296644230395
8,29,0.281238445502268
9,10,0.179068981975045
9,12,0.205755928563784
10,9,0.382319938983724
11,59,0.0724081327809864
11,68,0.3210885671292
12,13,0.363846654755023
13,12,0.348317872330394
13,31,0.0232379242166029
14,44,0.402790443539501
15,21,0.443876722793201
16,22,0.442095855957382
17,50,0.382292403753336
17,56,0.0284300258372212
18,51,0.397932237003193
19,52,0.39345270433787
20,41,0.374242840622312
21,15,0.413741332975739
22,16,0.410894681021305
23,26,0.420814381351303
24,27,0.424722217304244
25,28,0.424958702353748
26,8,0.113094949903919
26,23,0.26321904035549
27,24,0.419510440884255
28,25,0.409224997135879
29,8,0.376587808938487
29,68,0.0258101364921692
30,27,0.150366887842163
30,69,0.228254797253279
31,28,0.0597510279011878
31,70,0.314897907108432
32,41,0.414850599652326
33,42,0.439125878905182
34,43,0.439484177512876
35,17,0.373343318641118
36,21,0.386954131665888
37,19,0.146207530422441
37,22,0.246530796920466
38,74,0.399262749205129
39,42,0.397933574844565
40,39,0.352789125805232
41,32,0.432842136010421
42,33,0.424251813120624
43,34,0.433797421782265
44,14,0.389698543749275
45,42,0.396860169404163
46,43,0.377921960455108
47,5,0.413462919883316
48,39,0.390577676354566
49,40,0.139443084359689
49,48,0.25042103356974
50,17,0.397191490550709
51,18,0.424472682676169
52,19,0.403145077133757
53,41,0.4428797321671
54,42,0.456662783940108
55,43,0.445974837449621
56,2,0.0996373247161241
56,59,0.288056610888593
57,60,0.400186969630164
58,61,0.400671062060187
59,56,0.416504911921921
60,57,0.41348581458015
61,58,0.418851061793408
62,44,0.401709817860982
63,42,0.255953413812527
63,60,0.123434706403559
64,43,0.189393957660433
64,61,0.171516752352481
65,29,0.0627928975370867
65,67,0.261631427237764
66,67,0.368587730867075
67,65,0.0462354066284976
67,66,0.291950035144972
68,11,0.0461960525258144
68,29,0.349773527363614
69,30,0.403199673509132
70,31,0.401344647711203
71,77,0.397546224370997
72,75,0.264390373096219
72,78,0.136001124835934
73,76,0.204266794754178
73,79,0.184360466482331
74,38,0.388824910876722
75,72,0.417364519585724
76,73,0.391145187829999
77,26,0.0848594510750973
77,71,0.326679289448857
78,72,0.433257014612731
79,73,0.411382107105585
